source,disease,symptom_tags,symptom_text,num_symptoms
shanover_disease_symptoms_prec_full,Alcoholic hepatitis,vomiting|abdominal_pain|swelling_of_stomach|distention_of_abdomen|history_of_alcohol_consumption|fluid_overload,"vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",6
shanover_disease_symptoms_prec_full,Alcoholic hepatitis,vomiting|yellowish_skin|abdominal_pain|distention_of_abdomen|history_of_alcohol_consumption|fluid_overload,"vomiting, yellowish skin, abdominal pain, distention of abdomen, history of alcohol consumption, fluid overload",6
shanover_disease_symptoms_prec_full,Alcoholic hepatitis,vomiting|yellowish_skin|abdominal_pain|swelling_of_stomach|distention_of_abdomen|fluid_overload,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload",6
shanover_disease_symptoms_prec_full,Alcoholic hepatitis,vomiting|yellowish_skin|abdominal_pain|swelling_of_stomach|distention_of_abdomen|history_of_alcohol_consumption,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption",6
shanover_disease_symptoms_prec_full,Alcoholic hepatitis,vomiting|yellowish_skin|abdominal_pain|swelling_of_stomach|distention_of_abdomen|history_of_alcohol_consumption|fluid_overload,"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",7
shanover_disease_symptoms_prec_full,Alcoholic hepatitis,vomiting|yellowish_skin|abdominal_pain|swelling_of_stomach|history_of_alcohol_consumption|fluid_overload,"vomiting, yellowish skin, abdominal pain, swelling of stomach, history of alcohol consumption, fluid overload",6
shanover_disease_symptoms_prec_full,Alcoholic hepatitis,vomiting|yellowish_skin|swelling_of_stomach|distention_of_abdomen|history_of_alcohol_consumption|fluid_overload,"vomiting, yellowish skin, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",6
shanover_disease_symptoms_prec_full,Alcoholic hepatitis,yellowish_skin|abdominal_pain|swelling_of_stomach|distention_of_abdomen|history_of_alcohol_consumption|fluid_overload,"yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload",6
shanover_disease_symptoms_prec_full,Allergy,continuous_sneezing|chills|watering_from_eyes,"continuous sneezing, chills, watering from eyes",3
shanover_disease_symptoms_prec_full,Allergy,continuous_sneezing|shivering|chills,"continuous sneezing, shivering, chills",3
shanover_disease_symptoms_prec_full,Allergy,continuous_sneezing|shivering|chills|watering_from_eyes,"continuous sneezing, shivering, chills, watering from eyes",4
shanover_disease_symptoms_prec_full,Allergy,continuous_sneezing|shivering|watering_from_eyes,"continuous sneezing, shivering, watering from eyes",3
shanover_disease_symptoms_prec_full,Allergy,shivering|chills|watering_from_eyes,"shivering, chills, watering from eyes",3
shanover_disease_symptoms_prec_full,Arthritis,muscle_weakness|stiff_neck|movement_stiffness|painful_walking,"muscle weakness, stiff neck, movement stiffness, painful walking",4
shanover_disease_symptoms_prec_full,Arthritis,muscle_weakness|stiff_neck|swelling_joints|movement_stiffness,"muscle weakness, stiff neck, swelling joints, movement stiffness",4
shanover_disease_symptoms_prec_full,Arthritis,muscle_weakness|stiff_neck|swelling_joints|movement_stiffness|painful_walking,"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",5
shanover_disease_symptoms_prec_full,Arthritis,muscle_weakness|stiff_neck|swelling_joints|painful_walking,"muscle weakness, stiff neck, swelling joints, painful walking",4
shanover_disease_symptoms_prec_full,Arthritis,muscle_weakness|swelling_joints|movement_stiffness|painful_walking,"muscle weakness, swelling joints, movement stiffness, painful walking",4
shanover_disease_symptoms_prec_full,Arthritis,stiff_neck|swelling_joints|movement_stiffness|painful_walking,"stiff neck, swelling joints, movement stiffness, painful walking",4
shanover_disease_symptoms_prec_full,Bronchial Asthma,cough|high_fever|breathlessness|family_history|mucoid_sputum,"cough, high fever, breathlessness, family history, mucoid sputum",5
shanover_disease_symptoms_prec_full,Bronchial Asthma,fatigue|cough|breathlessness|family_history|mucoid_sputum,"fatigue, cough, breathlessness, family history, mucoid sputum",5
shanover_disease_symptoms_prec_full,Bronchial Asthma,fatigue|cough|high_fever|breathlessness|family_history,"fatigue, cough, high fever, breathlessness, family history",5
shanover_disease_symptoms_prec_full,Bronchial Asthma,fatigue|cough|high_fever|breathlessness|family_history|mucoid_sputum,"fatigue, cough, high fever, breathlessness, family history, mucoid sputum",6
shanover_disease_symptoms_prec_full,Bronchial Asthma,fatigue|cough|high_fever|breathlessness|mucoid_sputum,"fatigue, cough, high fever, breathlessness, mucoid sputum",5
shanover_disease_symptoms_prec_full,Bronchial Asthma,fatigue|cough|high_fever|family_history|mucoid_sputum,"fatigue, cough, high fever, family history, mucoid sputum",5
shanover_disease_symptoms_prec_full,Bronchial Asthma,fatigue|high_fever|breathlessness|family_history|mucoid_sputum,"fatigue, high fever, breathlessness, family history, mucoid sputum",5
shanover_disease_symptoms_prec_full,Cervical spondylosis,back_pain|neck_pain|dizziness|loss_of_balance,"back pain, neck pain, dizziness, loss of balance",4
shanover_disease_symptoms_prec_full,Cervical spondylosis,back_pain|weakness_in_limbs|dizziness|loss_of_balance,"back pain, weakness in limbs, dizziness, loss of balance",4
shanover_disease_symptoms_prec_full,Cervical spondylosis,back_pain|weakness_in_limbs|neck_pain|dizziness,"back pain, weakness in limbs, neck pain, dizziness",4
shanover_disease_symptoms_prec_full,Cervical spondylosis,back_pain|weakness_in_limbs|neck_pain|dizziness|loss_of_balance,"back pain, weakness in limbs, neck pain, dizziness, loss of balance",5
shanover_disease_symptoms_prec_full,Cervical spondylosis,back_pain|weakness_in_limbs|neck_pain|loss_of_balance,"back pain, weakness in limbs, neck pain, loss of balance",4
shanover_disease_symptoms_prec_full,Cervical spondylosis,weakness_in_limbs|neck_pain|dizziness|loss_of_balance,"weakness in limbs, neck pain, dizziness, loss of balance",4
shanover_disease_symptoms_prec_full,Chicken pox,itching|fatigue|lethargy|high_fever|headache|loss_of_appetite|mild_fever|swelled_lymph_nodes|malaise|red_spots_over_body,"itching, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chicken pox,itching|skin_rash|fatigue|high_fever|headache|loss_of_appetite|mild_fever|swelled_lymph_nodes|malaise|red_spots_over_body,"itching, skin rash, fatigue, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chicken pox,itching|skin_rash|fatigue|lethargy|headache|loss_of_appetite|mild_fever|swelled_lymph_nodes|malaise|red_spots_over_body,"itching, skin rash, fatigue, lethargy, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chicken pox,itching|skin_rash|fatigue|lethargy|high_fever|headache|loss_of_appetite|mild_fever|malaise|red_spots_over_body,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chicken pox,itching|skin_rash|fatigue|lethargy|high_fever|headache|loss_of_appetite|mild_fever|swelled_lymph_nodes|malaise|red_spots_over_body,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",11
shanover_disease_symptoms_prec_full,Chicken pox,itching|skin_rash|fatigue|lethargy|high_fever|headache|loss_of_appetite|swelled_lymph_nodes|malaise|red_spots_over_body,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, swelled lymph nodes, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chicken pox,itching|skin_rash|fatigue|lethargy|high_fever|headache|mild_fever|swelled_lymph_nodes|malaise|red_spots_over_body,"itching, skin rash, fatigue, lethargy, high fever, headache, mild fever, swelled lymph nodes, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chicken pox,itching|skin_rash|fatigue|lethargy|high_fever|loss_of_appetite|mild_fever|swelled_lymph_nodes|malaise|red_spots_over_body,"itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chicken pox,itching|skin_rash|lethargy|high_fever|headache|loss_of_appetite|mild_fever|swelled_lymph_nodes|malaise|red_spots_over_body,"itching, skin rash, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chicken pox,skin_rash|fatigue|lethargy|high_fever|headache|loss_of_appetite|mild_fever|swelled_lymph_nodes|malaise|red_spots_over_body,"skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body",10
shanover_disease_symptoms_prec_full,Chronic cholestasis,itching|vomiting|nausea|loss_of_appetite|abdominal_pain|yellowing_of_eyes,"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes",6
shanover_disease_symptoms_prec_full,Chronic cholestasis,itching|vomiting|yellowish_skin|loss_of_appetite|abdominal_pain|yellowing_of_eyes,"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes",6
shanover_disease_symptoms_prec_full,Chronic cholestasis,itching|vomiting|yellowish_skin|nausea|abdominal_pain|yellowing_of_eyes,"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes",6
shanover_disease_symptoms_prec_full,Chronic cholestasis,itching|vomiting|yellowish_skin|nausea|loss_of_appetite|abdominal_pain,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain",6
shanover_disease_symptoms_prec_full,Chronic cholestasis,itching|vomiting|yellowish_skin|nausea|loss_of_appetite|abdominal_pain|yellowing_of_eyes,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",7
shanover_disease_symptoms_prec_full,Chronic cholestasis,itching|vomiting|yellowish_skin|nausea|loss_of_appetite|yellowing_of_eyes,"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes",6
shanover_disease_symptoms_prec_full,Chronic cholestasis,itching|yellowish_skin|nausea|loss_of_appetite|abdominal_pain|yellowing_of_eyes,"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",6
shanover_disease_symptoms_prec_full,Chronic cholestasis,vomiting|yellowish_skin|nausea|loss_of_appetite|abdominal_pain|yellowing_of_eyes,"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",6
shanover_disease_symptoms_prec_full,Common Cold,chills|fatigue|cough|high_fever|headache|swelled_lymph_nodes|malaise|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",16
shanover_disease_symptoms_prec_full,Common Cold,continuous_sneezing|chills|cough|high_fever|headache|swelled_lymph_nodes|malaise|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"continuous sneezing, chills, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",16
shanover_disease_symptoms_prec_full,Common Cold,continuous_sneezing|chills|fatigue|cough|headache|swelled_lymph_nodes|malaise|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",16
shanover_disease_symptoms_prec_full,Common Cold,continuous_sneezing|chills|fatigue|cough|high_fever|headache|malaise|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"continuous sneezing, chills, fatigue, cough, high fever, headache, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",16
shanover_disease_symptoms_prec_full,Common Cold,continuous_sneezing|chills|fatigue|cough|high_fever|headache|swelled_lymph_nodes|malaise|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",17
shanover_disease_symptoms_prec_full,Common Cold,continuous_sneezing|chills|fatigue|cough|high_fever|headache|swelled_lymph_nodes|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",16
shanover_disease_symptoms_prec_full,Common Cold,continuous_sneezing|chills|fatigue|cough|high_fever|swelled_lymph_nodes|malaise|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"continuous sneezing, chills, fatigue, cough, high fever, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",16
shanover_disease_symptoms_prec_full,Common Cold,continuous_sneezing|chills|fatigue|high_fever|headache|swelled_lymph_nodes|malaise|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"continuous sneezing, chills, fatigue, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",16
shanover_disease_symptoms_prec_full,Common Cold,continuous_sneezing|fatigue|cough|high_fever|headache|swelled_lymph_nodes|malaise|phlegm|throat_irritation|redness_of_eyes|sinus_pressure|runny_nose|congestion|chest_pain|loss_of_smell|muscle_pain,"continuous sneezing, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",16
shanover_disease_symptoms_prec_full,Dengue,chills|joint_pain|vomiting|fatigue|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|muscle_pain|red_spots_over_body,"chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",13
shanover_disease_symptoms_prec_full,Dengue,skin_rash|chills|joint_pain|fatigue|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|muscle_pain|red_spots_over_body,"skin rash, chills, joint pain, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",13
shanover_disease_symptoms_prec_full,Dengue,skin_rash|chills|joint_pain|vomiting|fatigue|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|muscle_pain|red_spots_over_body,"skin rash, chills, joint pain, vomiting, fatigue, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",13
shanover_disease_symptoms_prec_full,Dengue,skin_rash|chills|joint_pain|vomiting|fatigue|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|muscle_pain,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain",13
shanover_disease_symptoms_prec_full,Dengue,skin_rash|chills|joint_pain|vomiting|fatigue|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|muscle_pain|red_spots_over_body,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",14
shanover_disease_symptoms_prec_full,Dengue,skin_rash|chills|joint_pain|vomiting|fatigue|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|red_spots_over_body,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, red spots over body",13
shanover_disease_symptoms_prec_full,Dengue,skin_rash|chills|joint_pain|vomiting|fatigue|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|muscle_pain|red_spots_over_body,"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, red spots over body",13
shanover_disease_symptoms_prec_full,Dengue,skin_rash|chills|joint_pain|vomiting|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|muscle_pain|red_spots_over_body,"skin rash, chills, joint pain, vomiting, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",13
shanover_disease_symptoms_prec_full,Dengue,skin_rash|chills|vomiting|fatigue|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|muscle_pain|red_spots_over_body,"skin rash, chills, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",13
shanover_disease_symptoms_prec_full,Dengue,skin_rash|joint_pain|vomiting|fatigue|high_fever|headache|nausea|loss_of_appetite|pain_behind_the_eyes|back_pain|malaise|muscle_pain|red_spots_over_body,"skin rash, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body",13
shanover_disease_symptoms_prec_full,Diabetes,fatigue|restlessness|lethargy|irregular_sugar_level|blurred_and_distorted_vision|obesity|excessive_hunger|increased_appetite|polyuria,"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",9
shanover_disease_symptoms_prec_full,Diabetes,fatigue|weight_loss|lethargy|irregular_sugar_level|blurred_and_distorted_vision|obesity|excessive_hunger|increased_appetite|polyuria,"fatigue, weight loss, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",9
shanover_disease_symptoms_prec_full,Diabetes,fatigue|weight_loss|restlessness|irregular_sugar_level|blurred_and_distorted_vision|obesity|excessive_hunger|increased_appetite|polyuria,"fatigue, weight loss, restlessness, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",9
shanover_disease_symptoms_prec_full,Diabetes,fatigue|weight_loss|restlessness|lethargy|blurred_and_distorted_vision|obesity|excessive_hunger|increased_appetite|polyuria,"fatigue, weight loss, restlessness, lethargy, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",9
shanover_disease_symptoms_prec_full,Diabetes,fatigue|weight_loss|restlessness|lethargy|irregular_sugar_level|blurred_and_distorted_vision|excessive_hunger|increased_appetite|polyuria,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, excessive hunger, increased appetite, polyuria",9
shanover_disease_symptoms_prec_full,Diabetes,fatigue|weight_loss|restlessness|lethargy|irregular_sugar_level|blurred_and_distorted_vision|obesity|excessive_hunger|increased_appetite|polyuria,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",10
shanover_disease_symptoms_prec_full,Diabetes,fatigue|weight_loss|restlessness|lethargy|irregular_sugar_level|blurred_and_distorted_vision|obesity|increased_appetite|polyuria,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, increased appetite, polyuria",9
shanover_disease_symptoms_prec_full,Diabetes,fatigue|weight_loss|restlessness|lethargy|irregular_sugar_level|obesity|excessive_hunger|increased_appetite|polyuria,"fatigue, weight loss, restlessness, lethargy, irregular sugar level, obesity, excessive hunger, increased appetite, polyuria",9
shanover_disease_symptoms_prec_full,Diabetes,weight_loss|restlessness|lethargy|irregular_sugar_level|blurred_and_distorted_vision|obesity|excessive_hunger|increased_appetite|polyuria,"weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",9
shanover_disease_symptoms_prec_full,Dimorphic hemmorhoids(piles),constipation|pain_during_bowel_movements|bloody_stool|irritation_in_anus,"constipation, pain during bowel movements, bloody stool, irritation in anus",4
shanover_disease_symptoms_prec_full,Dimorphic hemmorhoids(piles),constipation|pain_during_bowel_movements|pain_in_anal_region|bloody_stool,"constipation, pain during bowel movements, pain in anal region, bloody stool",4
shanover_disease_symptoms_prec_full,Dimorphic hemmorhoids(piles),constipation|pain_during_bowel_movements|pain_in_anal_region|bloody_stool|irritation_in_anus,"constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus",5
shanover_disease_symptoms_prec_full,Dimorphic hemmorhoids(piles),constipation|pain_during_bowel_movements|pain_in_anal_region|irritation_in_anus,"constipation, pain during bowel movements, pain in anal region, irritation in anus",4
shanover_disease_symptoms_prec_full,Dimorphic hemmorhoids(piles),constipation|pain_in_anal_region|bloody_stool|irritation_in_anus,"constipation, pain in anal region, bloody stool, irritation in anus",4
shanover_disease_symptoms_prec_full,Dimorphic hemmorhoids(piles),pain_during_bowel_movements|pain_in_anal_region|bloody_stool|irritation_in_anus,"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",4
shanover_disease_symptoms_prec_full,Drug Reaction,itching|skin_rash|burning_micturition|spotting_urination,"itching, skin rash, burning micturition, spotting urination",4
shanover_disease_symptoms_prec_full,Drug Reaction,itching|skin_rash|stomach_pain|burning_micturition,"itching, skin rash, stomach pain, burning micturition",4
shanover_disease_symptoms_prec_full,Drug Reaction,itching|skin_rash|stomach_pain|burning_micturition|spotting_urination,"itching, skin rash, stomach pain, burning micturition, spotting urination",5
shanover_disease_symptoms_prec_full,Drug Reaction,itching|skin_rash|stomach_pain|spotting_urination,"itching, skin rash, stomach pain, spotting urination",4
shanover_disease_symptoms_prec_full,Drug Reaction,itching|stomach_pain|burning_micturition|spotting_urination,"itching, stomach pain, burning micturition, spotting urination",4
shanover_disease_symptoms_prec_full,Drug Reaction,skin_rash|stomach_pain|burning_micturition|spotting_urination,"skin rash, stomach pain, burning micturition, spotting urination",4
shanover_disease_symptoms_prec_full,Fungal infection,itching|nodal_skin_eruptions|dischromic_patches,"itching, nodal skin eruptions, dischromic patches",3
shanover_disease_symptoms_prec_full,Fungal infection,itching|skin_rash|dischromic_patches,"itching, skin rash, dischromic patches",3
shanover_disease_symptoms_prec_full,Fungal infection,itching|skin_rash|nodal_skin_eruptions,"itching, skin rash, nodal skin eruptions",3
shanover_disease_symptoms_prec_full,Fungal infection,itching|skin_rash|nodal_skin_eruptions|dischromic_patches,"itching, skin rash, nodal skin eruptions, dischromic patches",4
shanover_disease_symptoms_prec_full,Fungal infection,skin_rash|nodal_skin_eruptions|dischromic_patches,"skin rash, nodal skin eruptions, dischromic patches",3
shanover_disease_symptoms_prec_full,GERD,acidity|ulcers_on_tongue|vomiting|cough|chest_pain,"acidity, ulcers on tongue, vomiting, cough, chest pain",5
shanover_disease_symptoms_prec_full,GERD,stomach_pain|acidity|ulcers_on_tongue|cough|chest_pain,"stomach pain, acidity, ulcers on tongue, cough, chest pain",5
shanover_disease_symptoms_prec_full,GERD,stomach_pain|acidity|ulcers_on_tongue|vomiting|chest_pain,"stomach pain, acidity, ulcers on tongue, vomiting, chest pain",5
shanover_disease_symptoms_prec_full,GERD,stomach_pain|acidity|ulcers_on_tongue|vomiting|cough,"stomach pain, acidity, ulcers on tongue, vomiting, cough",5
shanover_disease_symptoms_prec_full,GERD,stomach_pain|acidity|ulcers_on_tongue|vomiting|cough|chest_pain,"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain",6
shanover_disease_symptoms_prec_full,GERD,stomach_pain|acidity|vomiting|cough|chest_pain,"stomach pain, acidity, vomiting, cough, chest pain",5
shanover_disease_symptoms_prec_full,GERD,stomach_pain|ulcers_on_tongue|vomiting|cough|chest_pain,"stomach pain, ulcers on tongue, vomiting, cough, chest pain",5
shanover_disease_symptoms_prec_full,Gastroenteritis,sunken_eyes|dehydration|diarrhoea,"sunken eyes, dehydration, diarrhoea",3
shanover_disease_symptoms_prec_full,Gastroenteritis,vomiting|dehydration|diarrhoea,"vomiting, dehydration, diarrhoea",3
shanover_disease_symptoms_prec_full,Gastroenteritis,vomiting|sunken_eyes|dehydration,"vomiting, sunken eyes, dehydration",3
shanover_disease_symptoms_prec_full,Gastroenteritis,vomiting|sunken_eyes|dehydration|diarrhoea,"vomiting, sunken eyes, dehydration, diarrhoea",4
shanover_disease_symptoms_prec_full,Gastroenteritis,vomiting|sunken_eyes|diarrhoea,"vomiting, sunken eyes, diarrhoea",3
shanover_disease_symptoms_prec_full,Heart attack,breathlessness|sweating|chest_pain,"breathlessness, sweating, chest pain",3
shanover_disease_symptoms_prec_full,Heart attack,vomiting|breathlessness|chest_pain,"vomiting, breathlessness, chest pain",3
shanover_disease_symptoms_prec_full,Heart attack,vomiting|breathlessness|sweating,"vomiting, breathlessness, sweating",3
shanover_disease_symptoms_prec_full,Heart attack,vomiting|breathlessness|sweating|chest_pain,"vomiting, breathlessness, sweating, chest pain",4
